gu,total,fast,slow
강남구,5938,347,5591
송파구,5700,390,5310
서초구,5239,318,4921
강서구,4737,382,4355
성동구,3906,219,3687
노원구,3744,282,3462
영등포구,3671,324,3347
마포구,3523,238,3285
구로구,3515,234,3281
성북구,3328,174,3154
은평구,3016,224,2792
강동구,2897,166,2731
중랑구,2463,255,2208
서대문구,2314,150,2164
금천구,2199,267,1932
양천구,2186,251,1935
동대문구,2185,107,2078
동작구,2165,104,2061
용산구,2047,183,1864
중구,1944,219,1725
도봉구,1784,221,1563
관악구,1657,166,1491
광진구,1475,145,1330
종로구,1353,133,1220
강북구,1242,157,1085
기타,566,71,495
계양구,8,0,8
권선구,2,0,2
